,label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
57,LmOlF4,A11l_L,-30.09762239,48.90828222,-14.08479691,-33.18107148,35.01757836,-15.47113584,Gray,Left POrG posterior orbital gyrus,Unknown,L IFG (p Orbitalis),L OrG,Left frontal orbital 4 D,,Left frontal orbital 4 D
58,LmOlF5,A12/47o_L,-34.89541483,48.90828222,-12.88611859,-38.34758073,34.52733747,-14.28732794,Gray,Left LOrG lateral orbital gyrus,Unknown,L IFG (p Orbitalis),L OrG,Left pars orbitalis B,,Left pars orbitalis B
59,LmOlF6,A12/47l_L,-39.69320726,50.10603607,-11.68744028,-43.60040317,35.26562082,-12.7630627,White,Left Cerebral White Matter,Unknown,L IFG (p Orbitalis),L OrG,Unknown,WM,WM
60,LmOlF7,A12/47l_L,-44.89081573,50.90453863,-10.48876196,-49.16671846,35.62329888,-11.41423664,Gray,Left OrIFG orbital part of the inferior frontal gyrus,Unknown,L IFG (p Orbitalis),L OrG,Left pars orbitalis B,,Left pars orbitalis B
61,LmOlF8,A45r_L,-49.28879213,50.90453863,-9.290083647,-53.82186145,35.26353099,-10.11444844,Gray,Left TrIFG triangular part of the inferior frontal gyrus,Unknown,L IFG (p Orbitalis),L IFG,Left pars orbitalis B,,Left pars orbitalis B
62,LmOlF9,Unknown,-53.68676853,51.30378991,-8.49096477,-58.29708585,35.2992896,-9.127076788,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
63,LsifO1,dId_L,-30.89725447,16.56892836,13.88436377,-31.58409904,-0.728280718,12.63093432,White,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Unknown,WM,WM
64,LsifO2,dId_L,-35.29523087,17.76668221,15.48260152,-36.29882846,0.002495419,14.62864308,Gray,Left CO central operculum,Unknown,L Insula Lobe,L INS,Left posterior short insular gyrus A,,Left posterior short insular gyrus A
65,LsifO3,A4tl_L,-40.0930233,18.96443605,17.08083928,-41.38861175,0.728736374,16.68408911,White,Left CO central operculum,Unknown,L Rolandic Operculum,L PrG,Left posterior motor K,WM,WM
66,LsifO4,A6cvl_L,-44.89081573,19.76293862,18.67907703,-46.51895406,1.084664149,18.79321005,White,Left PrG precentral gyrus,Area 44,L Precentral Gyrus,L PrG,Unknown,WM,WM
67,LsifO5,A6cvl_L,-49.28879213,20.96069247,20.27731478,-51.25956848,2.02262918,20.95042557,White,Left PrG precentral gyrus,Area 44,L Precentral Gyrus,L PrG,Left anterior motor B,WM,WM
68,LsifO6,A4hf_L,-53.68676853,21.75919503,21.87555254,-55.90487014,2.611222575,23.03474271,White,Left Cerebral White Matter,Area 44,L Precentral Gyrus,L PrG,Unknown,WM,WM
