label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes,
RHpIT2,rHipp_R,21.9952223,2.95387363,-12.835893,26.891337,-11.898989,-19.268519,Gray,Right Hippocampus,CA2 (Hippocampus),R Hippocampus,R Hipp,Right hippocampus pes,,,
RHpIT3,cHipp_R,26.385348,1.75461578,-10.438338,31.860396,-12.770637,-16.172891,Gray,Right Hippocampus,CA2 (Hippocampus),R Hippocampus,R Hipp,Right hippocampus pes,,,
RHpIT4,cHipp_R,30.3763713,0.15560532,-8.4403763,36.3142677,-14.226116,-13.454615,White,Right Cerebral White Matter,Unknown,R Hippocampus,R Hipp,Unknown,WM,,
RHpIT5,Unknown,34.7664969,-1.4434052,-6.4424143,41.2118074,-15.627305,-10.716887,White,Right Cerebral White Matter,Area Id1,Unknown,Unknown,Right superior temporal gyrus C,WM,,
RHpIT6,A22r_R,39.1566225,-2.642663,-4.4444523,46.1051241,-16.443199,-7.8756793,White,Right STG superior temporal gyrus,Area Id1,R Superior Temporal Gyrus,R STG,Right superior temporal gyrus C,WM,,
RHpIT7,aSTS_R,43.5467482,-4.2416735,-2.4464903,51.0723209,-17.613392,-4.8901367,White,Right STG superior temporal gyrus,Unknown,R Superior Temporal Gyrus,R MTG,Right superior temporal gyrus C,WM,,
RHpIT8,A22r_R,47.5377715,-5.4409313,-0.4485283,55.6686956,-18.450496,-2.3315361,White,Right STG superior temporal gyrus,Unknown,R Superior Temporal Gyrus,R STG,Right superior temporal gyrus C,WM,,
RHpIT9,A22r_R,51.9278971,-7.0399418,1.54943371,60.8564432,-19.800297,-0.0542076,Gray,Right STG superior temporal gyrus,Area TE 3,R Superior Temporal Gyrus,R STG,Right superior temporal gyrus D,,,
LmCmS1,A24rv_L,-1.9509175,12.1481838,25.9245701,-2.075509,3.87915554,26.0391402,Gray,Left MCgG middle cingulate gyrus,Unknown,L ACC,L CG,Unknown,WM,,
LmCmS10,Unknown,-16.318601,12.5479364,67.0825872,-18.329233,9.94041322,75.0056792,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,
